"sentiment__document__score","sentiment__document__label","language","entities__emotion__anger","entities__emotion__joy","entities__emotion__sadness","entities__emotion__fear","entities__emotion__disgust","entities__count","entities__sentiment__score","entities__sentiment__label","entities__text","entities__disambiguation__subtype__-","entities__relevance","entities__type","relations__score","relations__type","relations__arguments__text","relations__arguments__location__001","relations__arguments__location__002","relations__arguments__entities__text","relations__arguments__entities__type","relations__sentence","keywords__relevance","keywords__text","keywords__emotion__anger","keywords__emotion__joy","keywords__emotion__sadness","keywords__emotion__fear","keywords__emotion__disgust","keywords__sentiment__score","keywords__sentiment__label","usage__text_characters","usage__features","usage__text_units","categories__score","categories__label"
"0.453035","positive","en","0.361711","0.057061","0.573018","0.234509","0.093687","1","0.369819","positive","Howard","","0.33","Person","0.481776","locatedAt","farm","62","66","farm","Facility","['HM I one one was located your emergency eleven ten thousand farm right Felton farmers what the problem is our little boy stopped breathing at least break even now yeah he thought how can I do you wonder CPR do you know how to do it I m cold and distant there is a yeah this you know I do think the author yeah call it being a group okay Howard is a shout it goes to his because they have become a medical problems because they have any kind of medical problems levels he does not know what happened before he stopped reason well I think filling some of okay Wario Adler we are at the Mayo hello', '","0.936993","okay yeah yeah","0.118469","0.768579","0.06691","0.049915","0.007422","0.0","neutral","43063","6","5","0.091301","/family and parenting/children"
"","","","0.258902","0.01467","0.677167","0.305061","0.056103","1","0.369819","positive","Felton","StateOrCounty","0.33","Location","","","Felton","73","79","Felton","GeopoliticalEntity","","0.809857","okay okay","0.265539","0.129705","0.604179","0.234626","0.081142","0.0","neutral","","","","0.0849305","/education/school"
"","","","0.258902","0.01467","0.677167","0.305061","0.056103","1","0.369819","positive","Mayo","","0.33","Person","0.469741","populationOf","one","1541","1544","one","Cardinal","in Atlanta one where is the heart of hello nine one one I m interested in my house but what if I couldn t find my fun dormant such order number trying to break in a decade talk about that right out started signing up okay you know who the gunman can clarify it s about change I ve got officers already on the web but you pay on the part of the officers get therapy putting that that kind of backing down they re in the band for someone who in the baton homocore sort of porch we ve heard that about parents that they can t I think anybody who I know I m not asking you to look for it but did you know there is hope you didn t think Americans it s over okay are you expecting inviting you', '","0.583108","shark yeah yeah","0.252397","0.050248","0.507922","0.228013","0.133468","0.0","neutral","","","","0.0823473","/business and industrial"
"","","","","","","","","2","0.0","neutral","thirty seconds","","0.33","Quantity","","","Atlanta","1533","1540","Atlanta","GeopoliticalEntity","","0.542131","okay urinal right","0.189264","0.147536","0.312373","0.245749","0.062613","0.0","neutral","","","","",""
"","","","","","","","","2","0.0","neutral","twenty minutes","","0.33","Quantity","0.748134","agentOf","you","15466","15469","you","Person","March twenty three two thousand thirteen eighteen fifty three fifty one nine one one let me address that your emergency workers drug users out breaking the address the replication board certified the three most of the year talk they let not but so far number you re calling from but I m trying not that problem coming back with a tap look where the shooting okay delicious my love to shop but that thousands it does nope Lucia I did he', 'three fifty one PM pick second April fifteenth two Pelton a but I think I only know one well then why are you for you if you', '","0.531396","okay phone number","0.342365","0.241266","0.249738","0.089302","0.162114","0.0","neutral","","","","",""
"","","","","","","","","2","0.0","neutral","nine week","","0.33","Quantity","","","calling","15473","15480","calling","EventCommunication","","0.520618","okay Wario Adler","0.258902","0.01467","0.677167","0.305061","0.056103","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","one eight eight nine two palm","","0.33","Quantity","0.795248","employedBy","senator","16112","16119","senator","Person","Tuesday January third two thousand twelve the time sixteen fifty but I don t wanna can help you yeah I leave that family atlas center middle school gym what s going on there we got it we got in that capacity who s on the court moaning as fast because they could be features that that this is not a highschool no the citadel middle school senator Cooper center middle school yeah and you know the actual address there Sir you may know the others that seven hundred E for sleep', '","0.519448","group okay Howard","0.258902","0.01467","0.677167","0.305061","0.056103","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","twenty fourteen zero hours","","0.33","Quantity","","","citadel middle school","16090","16111","citadel middle school","Organization","","0.515942","diplomatic okay anger","0.286703","0.029461","0.572649","0.157478","0.084342","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","one sixty seven years","","0.33","Quantity","0.587066","managerOf","Cooper","16120","16126","Cooper","Person","Tuesday January third two thousand twelve the time sixteen fifty but I don t wanna can help you yeah I leave that family atlas center middle school gym what s going on there we got it we got in that capacity who s on the court moaning as fast because they could be features that that this is not a highschool no the citadel middle school senator Cooper center middle school yeah and you know the actual address there Sir you may know the others that seven hundred E for sleep', '","0.514173","right okay","0.131298","0.1048","0.681116","0.169675","0.042893","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","fifty three seconds","","0.33","Quantity","","","center middle school","16127","16147","center middle school","Organization","","0.513784","okay west point","0.217036","0.019588","0.779635","0.126149","0.08145","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","twenty two minutes","","0.33","Quantity","0.57475","partOfMany","Sir","16191","16194","Sir","Person","Tuesday January third two thousand twelve the time sixteen fifty but I don t wanna can help you yeah I leave that family atlas center middle school gym what s going on there we got it we got in that capacity who s on the court moaning as fast because they could be features that that this is not a highschool no the citadel middle school senator Cooper center middle school yeah and you know the actual address there Sir you may know the others that seven hundred E for sleep', '","0.510833","Milton Berle okay","0.130948","0.132468","0.613067","0.228147","0.052321","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","three quarters","","0.33","Quantity","","","others","16212","16218","others","Person","","0.505493","airport okay hang","0.144885","0.020059","0.425066","0.626648","0.10276","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","nine one one","","0.33","Quantity","0.523775","agentOf","I","16361","16362","I","Person","I got a nine one one where is your emergency sixty one thirty five very three what s going on there because I just got a phone call saying that I m my friend she was on a date that apartment that how long and and apparently the boyfriend she hasn t decided assaulting her HESITATION okay what is her name last name anyone if he s beating are out yeah but that s what I was told that she called a friend of hers in Brazil and he s like well you re closer here working over there and she s in trouble on so what is your name my name is and your last name where would you like yourself Puyat I have a junior with me so I know will send some help over there but your phone number Sabrina HESITATION you know our passion',","0.504224","work couture okay","0.283094","0.067856","0.402367","0.442839","0.146078","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","fifty three","","0.33","Quantity","","","saying","16385","16391","saying","EventCommunication","","0.502198","okay hello hello","0.333352","0.02249","0.514122","0.239452","0.273939","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","one one year","","0.33","Quantity","0.368698","locatedAt","she","16491","16494","she","Person","I got a nine one one where is your emergency sixty one thirty five very three what s going on there because I just got a phone call saying that I m my friend she was on a date that apartment that how long and and apparently the boyfriend she hasn t decided assaulting her HESITATION okay what is her name last name anyone if he s beating are out yeah but that s what I was told that she called a friend of hers in Brazil and he s like well you re closer here working over there and she s in trouble on so what is your name my name is and your last name where would you like yourself Puyat I have a junior with me so I know will send some help over there but your phone number Sabrina HESITATION you know our passion',","0.500077","street okay","0.241939","0.02395","0.652254","0.269569","0.11046","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","zero eight","","0.33","Quantity","","","apartment","16434","16443","apartment","Facility","","0.498859","times okay Parker","0.412696","0.021373","0.637409","0.08763","0.13968","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","one second","","0.33","Quantity","0.720118","agentOf","I","16620","16621","I","Person","I got a nine one one where is your emergency sixty one thirty five very three what s going on there because I just got a phone call saying that I m my friend she was on a date that apartment that how long and and apparently the boyfriend she hasn t decided assaulting her HESITATION okay what is her name last name anyone if he s beating are out yeah but that s what I was told that she called a friend of hers in Brazil and he s like well you re closer here working over there and she s in trouble on so what is your name my name is and your last name where would you like yourself Puyat I have a junior with me so I know will send some help over there but your phone number Sabrina HESITATION you know our passion',","0.490925","Hispanic black okay","0.194054","0.092994","0.524815","0.254455","0.10125","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","Milton","","0.33","Quantity","","","told","16626","16630","told","EventCommunication","","0.489104","clean okay paramedics","0.32746","0.042092","0.664584","0.184261","0.061665","0.0","neutral","","","","",""
