"semantic_roles__action__text","semantic_roles__action__verb__text","semantic_roles__action__verb__tense","semantic_roles__action__normalized","semantic_roles__sentence","semantic_roles__object__text","semantic_roles__subject__text","sentiment__document__score","sentiment__document__label","language","entities__emotion__anger","entities__emotion__joy","entities__emotion__sadness","entities__emotion__fear","entities__emotion__disgust","entities__count","entities__sentiment__score","entities__sentiment__label","entities__text","entities__relevance","entities__type","relations__score","relations__type","relations__arguments__text","relations__arguments__location__001","relations__arguments__location__002","relations__arguments__entities__text","relations__arguments__entities__disambiguation__subtype__-","relations__arguments__entities__type","relations__sentence","keywords__relevance","keywords__text","keywords__emotion__anger","keywords__emotion__joy","keywords__emotion__sadness","keywords__emotion__fear","keywords__emotion__disgust","keywords__sentiment__score","keywords__sentiment__label","usage__text_characters","usage__features","usage__text_units","categories__score","categories__label"
"say","say","present","say","['I don t want archbishop Martin say farmers Fiona ntfc with early now time if if if we are poor on Lou songs he and HESITATION on Tom Hans Sahm colored she s allowed to many and they give me a hard time alone if you stop by John illicit sex Islamic lands well only one if you don here are calling nine one one because you don t like the way that they re making their Sam one other quick so that all don t buy it nduja block so it s locked away don t buy it if they don t want to make it is what you want supermarket he will make you pull me again physical that you know so I m out of one of Saddam delight way you know again the hard times', 'but one that carpet put it was determined that it is imperative twenty HESITATION childhood then left on my doorstep I can it s not HESITATION you know all yeah nbatickets paper it s a baby yeah did you find him I just went out to test the temperature outside Detroit one and and that was it with the trial NMO the please take good care of the child', 'well my mom one day the police fire and ambulance probably where up the polite Bonneval com Delaware but gone on there I HESITATION pick pick pick the login for them by the way that they could have been a kick them again that s why Paul I wanna com like Babbitt if people in my lap it may help let me go because because everybody I admit but they have a and I thought that if you have another day if you participate in a memo that either slap happy popping no manager there right now purity book with the manager on the level that you talk about hit it hit with parliament are popping but you don t have all the mail I want I want you to like it apple can happen probably go that battle advocate pilotless planes and you think you can do that but what would you feel if', 'I don t think you can t cut the yeah looser crew Nicole Miller capital I m calling for assistance okay where a light durable officer from capital recovery to forty eight fifty capital where it goes okay what s going on there reporter ripped the upholstery four eight picking him up kicker capital of red wine purported purpura three I don t go person here who is HESITATION if you drive it back if you could bootlegger it would petered out it I I do think we did that a forty eight fifty well three or four look at the capitol arrested her it will at No Way chemotherapy', 'nine one one Ireland but holy now ma am I got an emergency kit pickup with her kids my health kick him out or couldn t name would I don t need that kind of ncredible long I didn yeah I know I can imagine and a good looking man comes at the door that I have learned that my way he needed a bass player look like that yeah what you need in her own going on looking come back I think department come back my way with him okay and what we heard from my dog I mean I m a dog you know you', 'this recording was prepared by nine running run dispatch dot com nine one one emergency food and I want to know what s going on I want to do a quieter I told somebody noticed the way to the truck it was a lot of those too giving them each other I m a crucial blew up or something n t I met again shouldn t try to come to a guy who never grew quickly took up running the trend toward picked up a little luck yeah he talked to a guy and you wouldn t think that we have to talk to another caller and almost threw up to I have to look in that book trickling out something to my property and I m quite good tropicalis al assad s', 'I want your merchant take hello well I well get an American thing hello why you on the American P hotline or you know click delaying the if your mom there well HESITATION couple ha ha you re packing your own number if your mom okay yeah yeah if anybody there with you per hit anybody there with you no nobody there would be two or', 'there is a Fairfield Connecticut eight thirty three counts of silver outfits like flight we don t tend to talk to me I need assistance right away what happens if my wife had known softly verification of shopping I m not yet she ten cuts to a pair of handcuffs if you don t want me to do the talking I ve not done anything to learn she had a record of violence please come and help me get out of here it wherever it we re eating Mister where is she now I m holding her down so I can call you at least going to wonder is there any way that you can lock yourself in another room not we do not have to get up to speed up the only put it better talking I think is there anything in there villains he d probably eight thirty three fault performer out there out there not here I got better', 'all humn well I going on Bob many out there', 'only one American her completely can include welcome here okay I put both of her ridiculous but I am on twenty third street and a car wash talking inside put five dollars in it but its so called me and it will open the doors and I m going to go because he knew that Kyle and it s gone I don t know I m twenty four three two three months and will it go party or a hacking don t even know and it s like we go here one twenty four three here only for St you know any other lean work around noon I have a car through your brand can you call chameleon breath early hold on a minute okay going out I think hello we are talking you can t move your car out of the campaign here the garage doors are shut on both sides there are not opening locate what they re anybody working near it that one of those held third throughout our culture cookbook a so called my current', 'however not all of extramarital sex well it s summer you know why fund one lane on one side and at the end drawbridge in ninety five traffic stops fifteen minutes earlier recall about what I about traffic now you need a policeman numbers hit somebody gave because Sydney heart some ice cold here number find out I think it s urgent about twenty two minutes on the draw race when this when this traffic going one way and I m in the front corner sensitive something happening on the bridge except the truck and somebody gave me this right after that violet please I want to look at what it thousands of Farsi held that because it is a gift appeaser what yeah thank you you have never made much sense yet what what is it you re you re calling about I would have full of good horserace so life goes red I think if the malfunction because there s nothing happening on the drug trade okay because his truck coming and going HESITATION', 'get that far cordon without my help you although they did well who right won t local neighborhood I don t want we can put water like that what is your act right you what you re going to write what it okay report role partly it it would be a good one what if you are you a little okay and what book which promptly there I don t know what you re looking for a little while okay are you walk on water your control okay it there eat your neighborhood I don t know but how it was', 'are your not a record out or by like they didn out HESITATION we know you can t afford it it at the line if they are right yeah party I got the call you leann I m really lucky apply I don t know all that shit partner with around them and okay you couldn t really okay we call if you are we want to keep your yeah targeting a proper part up there or not please call my wife call it whatever could I could I got my car eclectic look it isnt throughout the', 'Takayama online yeah it was a Monday but battle against Richard eight that that number zero nine three one with the United States Illuminati order Alan at right now current currently dot inside okay airplane bigger unit on pot out of the not a field museum of art downtown is a world apart I would but here and try to complete an operation it went really wrong and that I ve got to get out of it and that I think a lot of help out a and that contact marketeer years and I think the rescue squad because we get me out immediately and tell where you are and the museum but Knoxville museum of art how kind', 'starting date Saturday February zero seven two thousand nine at twelve hours zero minutes and forty four seconds AM from port no no no no no no no no no no no yeah I know what yeah I can barely hear it what yeah Burger King not point beach Boulevard and whatnot caller on the line there yeah getting you out of the Medicare and what it really robot what what what NMEA out I don t I don t I bet that might well not there NPA former here to let them know that when I get out I mean their window I kept at it I want the that that putting on that plane well you know I don t I would often enough that I can why you didn t do that to me before now are you a lot more', 'thanks artist Krystal Hutton hope it wasn t here on the main street in Colorado springs Colorado okay do you know what made you know which states against and that Sharon that advocate address Sir cigarettes met like that for me main street main street I m not sure that that isn t like that address that is in the address and it was the nearest intersection inviting we want the damn phone number according to that to me seven one nine three nine three case researcher seven eight but Hey it had a home phone it is a case here and what s going on there now listen here I got two people here held hostage right okay now you know what happens to people that are held hostage but no I got the movie had nothing I can understand that okay and now one of the beers name is Danielle and her father and the reason why I m doing that because', 'now one might imagine thank get involved in nine one one where Schirmer chimney I don t I m not here right now you know a lot of heat in the car is there a way that someone come again Arafat correctional services are available in town to do that me and police in fact not why make Russell stars I mean you ll have to pay to have it done I ll cry umber closest ears sooner master and the number is nine eight seven I HESITATION I thank you now one one where your monthly it s not an emergency', 'level one would have in order hello yeah HESITATION what your quicken HESITATION nine one one do you need nine one one yet but well I m locked in my car got hit you like in your car yeah in my car where you HESITATION I didn t HESITATION HESITATION wouldn t be all fun Avondale how would you be looking at car what would happen if I got in my car and I turned on that let him catch I don t okay and you can t do it manually open your door no I can t open my door I am actually locked in here at my window their lawn and indeed you try the passenger door Reno on well I don t think yeah well my where people get hurt okay no problem how did you know that HESITATION a minimal one operator so let it happen lately that get out of here okay thing', 'I m not sure of my Darling of real Sarah overnight loans several brothers and I would just love the look alike you know the I R graveyard here that they get it they can go far broader from I already know I don t know about Dallas alright but I m just saying I totally get proceeds brothers very often although I don t see all of you my brother in law taught young of a sudden it hit me and I don t know what former clear that no one owns what sort of your because I found for forty you know product number nearly as about its results are you look at that Sir', 'Saturday may first two thousand ten the time nine thirty one PM not that I can think hello north American thing and emergency land I I don t I know you guys have more problems it s ridiculous thing that I m calling you about I don t ordered food which is totally Willie piculet he could get yeah like Donald for two dollars what I ordered it feel and I could hit it it can I apply my only complaint it is we d be quiet Jack peacock ignored port we don t want our money back you know locate it will occur yeah you out you know yeah so what okay but your moment', 'I HESITATION how are you not reach Clackamas county nine one one do not hang up for help after the tone say help do not hang up to read about your crush one at any time corporate help after the I HESITATION hello yeah Leon o clock commitment Donald here on property late at night and I need to calm gentleman that are there I grew up in the women out live through window day that they got the wrong order I m a little concerned but I think the I believe that they want', 'they can now All I Want to address billion legacy currently mired down in the near term many you need not you will need would not want to come out yeah if guys are sitting in a car outside child great I would like a child architects got them leave because the cops have told me to call and I outside Moscow you know what you re thinking I don t care and I m not going to be injured all creatures great how I m not new year s right now I loaded']","farmers Fiona ntfc with early now time if if if we are poor on Lou songs he and HESITATION on Tom Hans Sahm colored she s allowed to many and they give me a hard time alone if","archbishop Martin","-0.641623","negative","en","0.236467","0.055626","0.701793","0.135968","0.15204","1","-0.64933","negative","archbishop Martin","0.33","Person","0.878582","agentOf","Martin","26","32","Martin","","Person","['I don t want archbishop Martin say farmers Fiona ntfc with early now time if if if we are poor on Lou songs he and HESITATION on Tom Hans Sahm colored she s allowed to many and they give me a hard time alone if you stop by John illicit sex Islamic lands well only one if you don here are calling nine one one because you don t like the way that they re making their Sam one other quick so that all don t buy it nduja block so it s locked away don t buy it if they don t want to make it is what you want supermarket he will make you pull me again physical that you know so I m out of one of Saddam delight way you know again the hard times', '","0.901303","okay yeah yeah","0.197171","0.249982","0.288921","0.131137","0.040096","0.0","neutral","12748","6","2","0.0862498","/business and industrial"
"give","give","present","give","['I don t want archbishop Martin say farmers Fiona ntfc with early now time if if if we are poor on Lou songs he and HESITATION on Tom Hans Sahm colored she s allowed to many and they give me a hard time alone if you stop by John illicit sex Islamic lands well only one if you don here are calling nine one one because you don t like the way that they re making their Sam one other quick so that all don t buy it nduja block so it s locked away don t buy it if they don t want to make it is what you want supermarket he will make you pull me again physical that you know so I m out of one of Saddam delight way you know again the hard times', 'but one that carpet put it was determined that it is imperative twenty HESITATION childhood then left on my doorstep I can it s not HESITATION you know all yeah nbatickets paper it s a baby yeah did you find him I just went out to test the temperature outside Detroit one and and that was it with the trial NMO the please take good care of the child', 'well my mom one day the police fire and ambulance probably where up the polite Bonneval com Delaware but gone on there I HESITATION pick pick pick the login for them by the way that they could have been a kick them again that s why Paul I wanna com like Babbitt if people in my lap it may help let me go because because everybody I admit but they have a and I thought that if you have another day if you participate in a memo that either slap happy popping no manager there right now purity book with the manager on the level that you talk about hit it hit with parliament are popping but you don t have all the mail I want I want you to like it apple can happen probably go that battle advocate pilotless planes and you think you can do that but what would you feel if', 'I don t think you can t cut the yeah looser crew Nicole Miller capital I m calling for assistance okay where a light durable officer from capital recovery to forty eight fifty capital where it goes okay what s going on there reporter ripped the upholstery four eight picking him up kicker capital of red wine purported purpura three I don t go person here who is HESITATION if you drive it back if you could bootlegger it would petered out it I I do think we did that a forty eight fifty well three or four look at the capitol arrested her it will at No Way chemotherapy', 'nine one one Ireland but holy now ma am I got an emergency kit pickup with her kids my health kick him out or couldn t name would I don t need that kind of ncredible long I didn yeah I know I can imagine and a good looking man comes at the door that I have learned that my way he needed a bass player look like that yeah what you need in her own going on looking come back I think department come back my way with him okay and what we heard from my dog I mean I m a dog you know you', 'this recording was prepared by nine running run dispatch dot com nine one one emergency food and I want to know what s going on I want to do a quieter I told somebody noticed the way to the truck it was a lot of those too giving them each other I m a crucial blew up or something n t I met again shouldn t try to come to a guy who never grew quickly took up running the trend toward picked up a little luck yeah he talked to a guy and you wouldn t think that we have to talk to another caller and almost threw up to I have to look in that book trickling out something to my property and I m quite good tropicalis al assad s', 'I want your merchant take hello well I well get an American thing hello why you on the American P hotline or you know click delaying the if your mom there well HESITATION couple ha ha you re packing your own number if your mom okay yeah yeah if anybody there with you per hit anybody there with you no nobody there would be two or', 'there is a Fairfield Connecticut eight thirty three counts of silver outfits like flight we don t tend to talk to me I need assistance right away what happens if my wife had known softly verification of shopping I m not yet she ten cuts to a pair of handcuffs if you don t want me to do the talking I ve not done anything to learn she had a record of violence please come and help me get out of here it wherever it we re eating Mister where is she now I m holding her down so I can call you at least going to wonder is there any way that you can lock yourself in another room not we do not have to get up to speed up the only put it better talking I think is there anything in there villains he d probably eight thirty three fault performer out there out there not here I got better', 'all humn well I going on Bob many out there', 'only one American her completely can include welcome here okay I put both of her ridiculous but I am on twenty third street and a car wash talking inside put five dollars in it but its so called me and it will open the doors and I m going to go because he knew that Kyle and it s gone I don t know I m twenty four three two three months and will it go party or a hacking don t even know and it s like we go here one twenty four three here only for St you know any other lean work around noon I have a car through your brand can you call chameleon breath early hold on a minute okay going out I think hello we are talking you can t move your car out of the campaign here the garage doors are shut on both sides there are not opening locate what they re anybody working near it that one of those held third throughout our culture cookbook a so called my current', 'however not all of extramarital sex well it s summer you know why fund one lane on one side and at the end drawbridge in ninety five traffic stops fifteen minutes earlier recall about what I about traffic now you need a policeman numbers hit somebody gave because Sydney heart some ice cold here number find out I think it s urgent about twenty two minutes on the draw race when this when this traffic going one way and I m in the front corner sensitive something happening on the bridge except the truck and somebody gave me this right after that violet please I want to look at what it thousands of Farsi held that because it is a gift appeaser what yeah thank you you have never made much sense yet what what is it you re you re calling about I would have full of good horserace so life goes red I think if the malfunction because there s nothing happening on the drug trade okay because his truck coming and going HESITATION', 'get that far cordon without my help you although they did well who right won t local neighborhood I don t want we can put water like that what is your act right you what you re going to write what it okay report role partly it it would be a good one what if you are you a little okay and what book which promptly there I don t know what you re looking for a little while okay are you walk on water your control okay it there eat your neighborhood I don t know but how it was', 'are your not a record out or by like they didn out HESITATION we know you can t afford it it at the line if they are right yeah party I got the call you leann I m really lucky apply I don t know all that shit partner with around them and okay you couldn t really okay we call if you are we want to keep your yeah targeting a proper part up there or not please call my wife call it whatever could I could I got my car eclectic look it isnt throughout the', 'Takayama online yeah it was a Monday but battle against Richard eight that that number zero nine three one with the United States Illuminati order Alan at right now current currently dot inside okay airplane bigger unit on pot out of the not a field museum of art downtown is a world apart I would but here and try to complete an operation it went really wrong and that I ve got to get out of it and that I think a lot of help out a and that contact marketeer years and I think the rescue squad because we get me out immediately and tell where you are and the museum but Knoxville museum of art how kind', 'starting date Saturday February zero seven two thousand nine at twelve hours zero minutes and forty four seconds AM from port no no no no no no no no no no no yeah I know what yeah I can barely hear it what yeah Burger King not point beach Boulevard and whatnot caller on the line there yeah getting you out of the Medicare and what it really robot what what what NMEA out I don t I don t I bet that might well not there NPA former here to let them know that when I get out I mean their window I kept at it I want the that that putting on that plane well you know I don t I would often enough that I can why you didn t do that to me before now are you a lot more', 'thanks artist Krystal Hutton hope it wasn t here on the main street in Colorado springs Colorado okay do you know what made you know which states against and that Sharon that advocate address Sir cigarettes met like that for me main street main street I m not sure that that isn t like that address that is in the address and it was the nearest intersection inviting we want the damn phone number according to that to me seven one nine three nine three case researcher seven eight but Hey it had a home phone it is a case here and what s going on there now listen here I got two people here held hostage right okay now you know what happens to people that are held hostage but no I got the movie had nothing I can understand that okay and now one of the beers name is Danielle and her father and the reason why I m doing that because', 'now one might imagine thank get involved in nine one one where Schirmer chimney I don t I m not here right now you know a lot of heat in the car is there a way that someone come again Arafat correctional services are available in town to do that me and police in fact not why make Russell stars I mean you ll have to pay to have it done I ll cry umber closest ears sooner master and the number is nine eight seven I HESITATION I thank you now one one where your monthly it s not an emergency', 'level one would have in order hello yeah HESITATION what your quicken HESITATION nine one one do you need nine one one yet but well I m locked in my car got hit you like in your car yeah in my car where you HESITATION I didn t HESITATION HESITATION wouldn t be all fun Avondale how would you be looking at car what would happen if I got in my car and I turned on that let him catch I don t okay and you can t do it manually open your door no I can t open my door I am actually locked in here at my window their lawn and indeed you try the passenger door Reno on well I don t think yeah well my where people get hurt okay no problem how did you know that HESITATION a minimal one operator so let it happen lately that get out of here okay thing', 'I m not sure of my Darling of real Sarah overnight loans several brothers and I would just love the look alike you know the I R graveyard here that they get it they can go far broader from I already know I don t know about Dallas alright but I m just saying I totally get proceeds brothers very often although I don t see all of you my brother in law taught young of a sudden it hit me and I don t know what former clear that no one owns what sort of your because I found for forty you know product number nearly as about its results are you look at that Sir', 'Saturday may first two thousand ten the time nine thirty one PM not that I can think hello north American thing and emergency land I I don t I know you guys have more problems it s ridiculous thing that I m calling you about I don t ordered food which is totally Willie piculet he could get yeah like Donald for two dollars what I ordered it feel and I could hit it it can I apply my only complaint it is we d be quiet Jack peacock ignored port we don t want our money back you know locate it will occur yeah you out you know yeah so what okay but your moment', 'I HESITATION how are you not reach Clackamas county nine one one do not hang up for help after the tone say help do not hang up to read about your crush one at any time corporate help after the I HESITATION hello yeah Leon o clock commitment Donald here on property late at night and I need to calm gentleman that are there I grew up in the women out live through window day that they got the wrong order I m a little concerned but I think the I believe that they want', 'they can now All I Want to address billion legacy currently mired down in the near term many you need not you will need would not want to come out yeah if guys are sitting in a car outside child great I would like a child architects got them leave because the cops have told me to call and I outside Moscow you know what you re thinking I don t care and I m not going to be injured all creatures great how I m not new year s right now I loaded']","a hard time alone","they","","","","0.236467","0.055626","0.701793","0.135968","0.15204","1","-0.64933","negative","Fiona ntfc","0.33","Person","","","say","33","36","say","","EventCommunication","","0.639857","HESITATION HESITATION","0.413424","0.063462","0.271906","0.417228","0.087502","0.0","neutral","","","","0.0856759","/family and parenting/children"
"","","","","","","","","","","0.236467","0.055626","0.701793","0.135968","0.15204","1","-0.64933","negative","Tom Hans Sahm","0.33","Person","0.845566","locatedAt","I","1621","1622","Martin","","Person","well my mom one day the police fire and ambulance probably where up the polite Bonneval com Delaware but gone on there I HESITATION pick pick pick the login for them by the way that they could have been a kick them again that s why Paul I wanna com like Babbitt if people in my lap it may help let me go because because everybody I admit but they have a and I thought that if you have another day if you participate in a memo that either slap happy popping no manager there right now purity book with the manager on the level that you talk about hit it hit with parliament are popping but you don t have all the mail I want I want you to like it apple can happen probably go that battle advocate pilotless planes and you think you can do that but what","0.627971","don t okay","0.413424","0.063462","0.271906","0.417228","0.087502","0.0","neutral","","","","0.0722049","/law, govt and politics/law enforcement/police"
"","","","","","","","","","","0.236467","0.055626","0.701793","0.135968","0.15204","1","-0.64933","negative","Lou","0.33","Person","","","planes","1703","1709","planes","","Vehicle","","0.595838","right yeah party","0.547113","0.085318","0.314237","0.204857","0.050137","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","1","0.0","neutral","twenty four three two three months","0.33","Quantity","0.714567","partOfMany","Nicole Miller","1819","1832","Nicole Miller","","Person","would you feel if', 'I don t think you can t cut the yeah looser crew Nicole Miller capital I m calling for assistance okay where a light durable officer from capital recovery to forty eight fifty capital where it goes okay what s going on there reporter ripped the upholstery four eight picking him up kicker capital of red wine purported purpura three I don t go person here who is HESITATION if you drive it back if you could bootlegger it would petered out it I I do think we did that a forty eight fifty well three or four look at the capitol arrested her it will at No Way chemotherapy', '","0.591891","yeah looser crew","0.345504","0.09721","0.52226","0.115265","0.058176","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","1","0.0","neutral","forty four seconds","0.33","Quantity","","","crew","1814","1818","farmers","","Person","","0.589141","little luck yeah","0.261816","0.073483","0.400366","0.45252","0.141775","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","1","0.0","neutral","twenty two minutes","0.33","Quantity","0.363836","residesIn","Nicole Miller","1819","1832","Nicole Miller","","Person","would you feel if', 'I don t think you can t cut the yeah looser crew Nicole Miller capital I m calling for assistance okay where a light durable officer from capital recovery to forty eight fifty capital where it goes okay what s going on there reporter ripped the upholstery four eight picking him up kicker capital of red wine purported purpura three I don t go person here who is HESITATION if you drive it back if you could bootlegger it would petered out it I I do think we did that a forty eight fifty well three or four look at the capitol arrested her it will at No Way chemotherapy', '","0.579953","Takayama online yeah","","","","","","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","1","0.0","neutral","fifteen minutes","0.33","Quantity","","","capital","1833","1840","capital","","GeopoliticalEntity","","0.575415","yeah Burger King","0.313317","0.051765","0.487242","0.315429","0.141161","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","1","0.0","neutral","five dollars","0.33","Quantity","0.829379","agentOf","I","1841","1842","Martin","","Person","would you feel if', 'I don t think you can t cut the yeah looser crew Nicole Miller capital I m calling for assistance okay where a light durable officer from capital recovery to forty eight fifty capital where it goes okay what s going on there reporter ripped the upholstery four eight picking him up kicker capital of red wine purported purpura three I don t go person here who is HESITATION if you drive it back if you could bootlegger it would petered out it I I do think we did that a forty eight fifty well three or four look at the capitol arrested her it will at No Way chemotherapy', '","0.566666","drug trade okay","0.124234","0.259644","0.366899","0.180462","0.055774","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","1","0.0","neutral","twelve hours","0.33","Quantity","","","calling for","1845","1856","calling for","","EventCommunication","","0.566086","okay report role","0.128761","0.408854","0.189976","0.098792","0.155292","0.0","neutral","","","","",""
