"sentiment__document__score","sentiment__document__label","language","entities__emotion__anger","entities__emotion__joy","entities__emotion__sadness","entities__emotion__fear","entities__emotion__disgust","entities__count","entities__sentiment__score","entities__sentiment__label","entities__text","entities__relevance","entities__type","relations__score","relations__type","relations__arguments__text","relations__arguments__location__001","relations__arguments__location__002","relations__arguments__entities__text","relations__arguments__entities__type","relations__sentence","keywords__relevance","keywords__text","keywords__emotion__anger","keywords__emotion__joy","keywords__emotion__sadness","keywords__emotion__fear","keywords__emotion__disgust","keywords__sentiment__score","keywords__sentiment__label","usage__text_characters","usage__features","usage__text_units","categories__score","categories__label"
"0.0","neutral","en","0.0","0.0","0.0","0.0","0.0","1","0.272633","positive","Eric Eric","0.33","Person","0.51258","partOfMany","Eric","7","11","Eric","Person","['Eric Eric what what it looked very good artists that we were going to win that one but hunter I got really bored with the good people accurate hip hop it really hit it hard enough we re going up or go to a bad pixel I should wait I thought that it would patent badly injured but the kids I know what you meant yeah I really like him but that little kid burger with that little kid who can point yet I because it better but you know I know I know well then I don t but it I think I m gonna help old real care how many kids are injured there at work here that work if you have a', '","0.995757","clock yeah yeah","0.260814","0.312855","0.179279","0.292136","0.184696","0.0","neutral","24251","6","3","0.0820618","/family and parenting/children"
"","","","","","","","","2","0.0","neutral","three year","0.33","Quantity","","","we","55","57","we","Person","","0.975323","okay okay publisher","0.270629","0.016097","0.301631","0.426397","0.140181","0.0","neutral","","","","0.0819786","/education/school"
"","","","","","","","","1","0.0","neutral","one one atmosphere","0.33","Quantity","0.538778","locatedAt","I","1189","1190","I","Person","I m not altogether happening HESITATION I have someone here that I need to HESITATION blow out third in my home there are right now hyperbaric Lippincott held but the clear but then the thing from one three year old yeah he reported that I m trying to get that now ma am okay what did that person do that you need to read it why bother for what for an audit throwing money already there but I don t know if they would pack make clear that Orlando I m sure department how they got here I was in the car with a driver complete fiction and lower that the night that they would bring it up because my home when I got home to call them does he feel your vehicle yeah what did he do that I', '","0.954584","line okay yeah","0.52785","0.017744","0.427974","0.236814","0.110513","0.0","neutral","","","","0.0709005","/business and industrial"
"","","","","","","","","1","0.0","neutral","twenty eight feet","0.33","Quantity","","","home","1195","1199","home","Location","","0.823635","Hey HESITATION yeah","0.18776","0.232358","0.021595","0.070177","0.054337","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","one three year","0.33","Quantity","0.445501","partOfMany","HESITATION","15653","15663","HESITATION","Person","t okay rooftop implored him', 'there are good men get the part because thirty First Avenue wins Belmont on the yeah HESITATION what we did in the park I think it was that but we must be added to the park on my so at the very first stab wound northern that on the west end of the park Catholics and if you know the I m not sure I think he remembered the thirty first that room Belmont we didn t know it exists at the moment issue there is true love straightaway Kumar in fact Putin they look like any tactical quickly new but it is anything outlook especially does it look like you I I could tell the party s been near gated the parking linear gated and I wouldn t doubt it Karen a lot', '","0.782037","yeah HESITATION","0.051811","0.729175","0.047963","0.046306","0.026364","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","thirty minutes","0.33","Quantity","","","we","15669","15671","we","Person","","0.733675","right yeah","0.169151","0.110642","0.511086","0.187228","0.042195","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","forty minutes","0.33","Quantity","0.589436","partOfMany","HESITATION","15653","15663","HESITATION","Person","t okay rooftop implored him', 'there are good men get the part because thirty First Avenue wins Belmont on the yeah HESITATION what we did in the park I think it was that but we must be added to the park on my so at the very first stab wound northern that on the west end of the park Catholics and if you know the I m not sure I think he remembered the thirty first that room Belmont we didn t know it exists at the moment issue there is true love straightaway Kumar in fact Putin they look like any tactical quickly new but it is anything outlook especially does it look like you I I could tell the party s been near gated the parking linear gated and I wouldn t doubt it Karen a lot', '","0.732276","kind okay Waller","0.370538","0.021625","0.275817","0.474907","0.150365","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","ninety second","0.33","Quantity","","","we","15712","15714","we","Person","","0.715456","old yeah","0.501666","0.013288","0.397155","0.190005","0.2751","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","fifty minute","0.33","Quantity","0.677633","locatedAt","we","15669","15671","we","Person","t okay rooftop implored him', 'there are good men get the part because thirty First Avenue wins Belmont on the yeah HESITATION what we did in the park I think it was that but we must be added to the park on my so at the very first stab wound northern that on the west end of the park Catholics and if you know the I m not sure I think he remembered the thirty first that room Belmont we didn t know it exists at the moment issue there is true love straightaway Kumar in fact Putin they look like any tactical quickly new but it is anything outlook especially does it look like you I I could tell the party s been near gated the parking linear gated and I wouldn t doubt it Karen a lot', '","0.7101","Ryan Pennekamp yeah","0.404794","0.077412","0.406401","0.063056","0.267978","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","fifty second","0.33","Quantity","","","park","15683","15687","park","Facility","","0.70462","vehicle yeah","0.172437","0.142407","0.394491","0.268944","0.056728","0.0","neutral","","","","",""
