IncidentID,Text,Class
2,I don't want archbishop Martin say farmers Fiona ntfc with early now time if if if we are poor on Lou songs he and %HESITATION on Tom Hans Sahm colored she's allowed to many and they give me a hard time alone if you stop by John illicit sex Islamic lands well only one if you don here are calling nine one one because you don't like the way that they're making their Sam one other quick so that all don't buy it nduja block so it's locked away don't buy it if they don't want to make it is what you want supermarket he will make you pull me again physical that you know so I'm out of one of Saddam delight way you know again the hard times ,low
2,but one that carpet put it was determined that it is imperative twenty %HESITATION childhood then left on my doorstep I can it's not %HESITATION you know all yeah nbatickets paper it's a baby yeah did you find him I just went out to test the temperature outside Detroit one and and that was it with the trial NMO the please take good care of the child ,low
2,well my mom one day the police fire and ambulance probably where up the polite Bonneval com Delaware but gone on there I %HESITATION pick pick pick the login for them by the way that they could have been a kick them again that's why Paul I wanna com like Babbitt if people in my lap it may help let me go because because everybody I admit but they have a and I thought that if you have another day if you participate in a memo that either slap happy popping no manager there right now purity book with the manager on the level that you talk about hit it hit with parliament are popping but you don't have all the mail I want I want you to like it apple can happen probably go that battle advocate pilotless planes and you think you can do that but what would you feel if ,low
2,I don't think you can't cut the yeah looser crew Nicole Miller capital I'm calling for assistance okay where a light durable officer from capital recovery to forty eight fifty capital where it goes okay what's going on there reporter ripped the upholstery four eight picking him up kicker capital of red wine purported purpura three I don't go person here who is %HESITATION if you drive it back if you could bootlegger it would petered out it I I do think we did that a forty eight fifty well three or four look at the capitol arrested her it will at No Way chemotherapy ,low
2,nine one one Ireland but holy now ma'am I got an emergency kit pickup with her kids my health kick him out or couldn't name would I don't need that kind of ncredible long I didn yeah I know I can imagine and a good looking man comes at the door that I have learned that my way he needed a bass player look like that yeah what you need in her own going on  looking come back I think department come back my way with him okay and what we heard from my dog I mean I'm a dog you know you ,low
2,this recording was prepared by nine running run dispatch dot com nine one one emergency food and I want to know what's going on I want to do a quieter I told somebody noticed the way to the truck it was a lot of those too giving them each other I'm a crucial blew up or something n't I met again shouldn't try to come to a guy who never grew quickly took up running the trend toward picked up a little luck yeah he talked to a guy and you wouldn't think that we have to talk to another caller and almost threw up to I have to look in that book trickling out something to my property and I'm quite good tropicalis al-assad's ,low
2,I want your merchant take hello well I well get an American thing hello why you on the American P. hotline or you know click delaying the if your mom there well %HESITATION couple ha ha you're packing your own number if your mom okay yeah yeah if anybody there with you per hit anybody there with you no nobody there would be two or ,low
2,there is a Fairfield Connecticut eight thirty three counts of silver outfits like flight we don't tend to talk to me I need assistance right away what happens if my wife had known softly verification of shopping I'm not yet she ten cuts to a pair of handcuffs if you don't want me to do the talking I've not done anything to learn she had a record of violence please come and help me get out of here it wherever it we're eating Mister where is she now I'm holding her down so I can call you at least going to wonder is there any way that you can lock yourself in another room not we do not have to get up to speed up the only put it better talking I think is there anything in there villains he'd probably eight thirty three fault performer out there out there not here I got better ,low
2,all humn well I going on Bob many out there ,low
2,only one American her completely can include welcome here okay I put both of her ridiculous but I am on twenty third street and a car wash talking inside put five dollars in it but its so called me and it will open the doors and I'm going to go because he knew that Kyle and it's gone I don't know I'm twenty four three two three months and will it go party or a hacking don't even know and it's like we go here one twenty four three here only for St you know any other lean work around noon I have a car through your brand can you call chameleon breath early hold on a minute okay going out I think hello we are talking you can't move your car out of the campaign here the garage doors are shut on both sides there are not opening locate what they're anybody working near it that one of those held third throughout our culture cookbook a so called my current ,low
